,Anbieter,Aufgaben,Bewerbungsdetail,Email,Frist,Kontakter,Profil vom Anbieter,Profil vom Bewerber,Tele,URL,id,stelle_name,stelle_type
92,Institut of Physico-Chemical Fundamentals of Combustion ,"Ziel Ihrere Aufgabe ist es einen sicheren, vollautomatisierten Ablauf der Forschungsanlage mittels eigenentwickelter Programme in LabVIEW zu ermöglichen. Sowohl Erweiterungen an der bestehenden Programmierung sowie eigenständige Unterprogramme können dabei Ziel Ihrere Arbeit sein.",,mailto:buettgen@pcfc.rwth-aachen.de,31.05.2017,René Büttgen,"Dich erwarteten interessante, grundlegende Forschungsprojekte in einem interdisziplinären Team einer neu besetzten Juniorprofessur.
Wir erforschen unteranderem das Selbstzündverhalten von klassischen und erneuerbaren Kraftstoffen in zwei Forschungsanlagen. Eine dieser Forschungsanlage ist wird voll automatisiert über das Softwarepaket LabVIEW bedient. LabVIEW ist ein grafisches Programmiersystem von National Instruments.","Wir suchen eine studentische Hilfskraft (m/w) zur Betreuung, Pflege und Weiterentwickung der mittels LabVIEW entwickelten Programme zur Steuerung der Anlage. Du solltest also sehr gute Kenntnisse im Umgang mit LabVIEW haben.
Weiter von Vorteil sind:
- gute Kenntnisse in Word&Office
- fließend in English und/oder Deutsch
- weitere Programmiersprachen",+49 241 80-96415,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19171/,19171,,Studentische Hilfskraft
93,Lehrstuhl D für Mathematik,"- Implementierung und Wartung von Algorithmen (C und C++)
- Ggf. Mitentwicklung von Algorithmen
- Auswertung und Benchmarking der Software ","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 6 Monate. Bei guten Leistungen ist eine Verlängerung möglich.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:levandov@math.rwth-aachen.de,30.04.2017,PD Dr. Viktor Levandovskyy,"Anbieter: Lehrstuhl D für Mathematik, Prof. Dr. Eva Zerz. 
Im Rahmen eines von der DFG finanzierten Forschungsprojektes werden fortgeschrittene nicht-numerische Algorithmen entwickelt, im Computeralgebrasystem SINGULAR implementiert und angewandt. Als studentische Hilfskraft (m/w) unterstützen Sie uns dabei, diese Aufgaben durchzuführen. 
Was wir bieten: 
- Sehr gute Rahmenbedingungen für Praxiserfahrungen neben dem Studium
- Flexible Arbeitszeiten
- Vielseitige Aufgaben und forschungsnahe Tätigkeit
- Mitarbeit in einem engagierten Team
- Möglichkeit, Bachelor- oder Masterarbeit zum Thema zu schreiben ","- Sie studieren Informatik, Mathematik oder ein vergleichbares Fach
- Sie haben Erfahrung mit:
● Linux und der Kommandozeile unter Linux
● Softwareentwicklung mit C und C++;  Debugger: vorzugsweise gdb
● Software zur Versionsverwaltung, vorzugsweise Git/Github
● eine Skriptsprache, vorzugsweise Python
- Kenntnisse der (Computer-)Algebra, gute Englisch-Kenntnisse, Teamgeist und Eigeninitiative sind von Vorteil.",+49 241 80-94528,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19173/,19173,Softwareentwicklung,Studentische Hilfskraft
94,Institut für Elektrische Anlagen und Energiewirtschaft (IAEW),"Wir suchen eine studentische Hilfskraft (m/w), die uns in unseren Forschungs- und Industrieprojekten in der Entwicklung von mathematischen Modellen sowie in Auswertungen von Untersuchungsergebnissen unterstützt. Dabei bieten wir moderne Rechnerausstattung und Entwicklungswerkzeuge an. Darüber hinaus ist eine flexible Zeiteinteilung möglich.
Ihr potentielles Aufgabenfeld umfasst somit:
-Aktive Mitarbeit an aktuellen Forschungs- und Industrieprojekten
-Mathematische Modellierung und Erweiterungen von Simulationsverfahren 
-Unterstützung bei der Visualisierung von Simulationsergebnissen
-Recherchearbeiten",,mailto:st@iaew.rwth-aachen.de,01.06.2017,vom Stein,"Institut und Lehrstuhl für Elektrische Anlagen und Energiewirtschaft (IAEW) gehören zur Fakultät für Elektrotechnik und Informationstechnik der RWTH Aachen University. Das IAEW ist bereits seit Jahren auf systemische Betrachtungen von technischen, wirtschaftlichen und politischen Fragestellungen im Bereich der Energiewirtschaft spezialisiert. Die Kernkompetenz ist hierbei die Überführung realer Fragestellungen in mathematische Probleme. 
Die Arbeit des IAEW unterteilt sich in drei Themenfelder: 
-Systemsicherheit in der Energiewende
-Zukünftige europäische Energieversorgung
-Smart Grids und Smart Markets","-Studium mit dem Schwerpunkt Energietechnik, Energiewirtschaft oder Informatik
-Gute analytische Fähigkeiten und Eigeninitiative
-Selbstständiges, zuverlässiges und zielgerichtetes Arbeiten
-Kenntnisse in Operations Research, C++ oder Matlab von Vorteil",+49 241 80-97885,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19152/,19152,,Studentische Hilfskraft
95,Institut of Physico-Chemical Fundamentals of Combustion ,"Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Die regelmäßige Wochenarbeitszeit beträgt 8-19 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",,mailto:buettgen@pcfc.rwth-aachen.de,31.03.2017,René Büttgen,"Dich erwarteten interessante, grundlegende Forschungsprojekte in einem interdisziplinären Team einer neu besetzten Juniorprofessur.
Du solltest mitbringen:
- Ausgeprägtes analytisches Denken und eine schnelle Auffassungsgabe
- Technisches Geschick
- Fließendes Deutsch oder Englisch
- Gute Kenntnisse in Excel","Wir suchen eine studentische Hilfskraft (m/w), die uns in unseren Forschungs- und Industrieprojekten unterstützt.
Dazu gehören unteranderem die experimentelle Charakterisierung der Selbstzündeigenschaften alternativer Kraftstoffe an der Rapid Compression Machine (RCM) oder der Shock Tube.
Dazu gehören: Eigenständiges Vorbereiten der Experimente, die Durchführung sowie die Auswertung und Protokollierung.
Möchtest Du mehr erfahren? - Ruf uns einfach direkt an!",+49 241 80-96415,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19157/,19157,,Studentische Hilfskraft
96,"Werkzeugmaschinenlabor WZL der RWTH Aachen, Lehrstuhl für Produktionssystematik","Dein Aufgabenfeld:
- Aktive Mitarbeit in Industrie- und Forschungsprojekten
- Entwicklung von Studien und Benchmarks im Kontext der globalen Produktion
- Literaturrecherchen
- Aufbereitung von Datenanalysen und Präsentationen
Deine Perspektiven:
- Vollwertiges Mitglied im Projektteam
- Flexible Zeiteinteilung
- Praxiserfahrung schon im Studium
- Wachsende Verantwortung und abwechslungsreiche Aufgaben
- Industriekontakte
- Möglichkeit zum Anfertigen von wissenschaftlichen Arbeiten","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 6 Monate. Eine Verlängerung ist gerne möglich.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:j.ays@wzl.rwth-aachen.de,15.04.2017,"Julian Ays, M.Sc.","Das Werkzeugmaschinenlabor WZL der RWTH Aachen steht seit Jahrzehnten als Synonym für erfolgreiche und zukunftsweisende Forschung und Innovation auf dem Gebiet der Produktionstechnik. In sechs Forschungsbereichen werden sowohl grundlagenbezogene als auch an den Erfordernissen der Industrie ausgerichtete Forschungsvorhaben durchgeführt. Die Abteilung Produktionsmanagement am Lehrstuhl für Produktionssystematik beschäftigt sich mit den Themenfeldern Produktionslogistik, Prozessmanagement und globale Produktion.
Die Gruppe 'Globale Produktion' beschäftigt sich im Kern mit strategischen Fragestellungen zu der Gestaltung von globalen Produktionsnetzwerken, sowie der Auswahl und dem Aufbau geeigneter Produktionsstandorte. Hierzu arbeiten wir eng mit führenden Partnern aus der Industrie und Forschung zusammen, konzipieren neue Tools (z.B. das Softwaretool OptiWo) und entwickeln Methoden.","Hast du Interesse,...
...aktiv in Projekten theoretisches Wissen praxisorientiert anzuwenden?
...in einem jungen, engagierten Umfeld erste Kontakte zum Institut und zur Industrie zu knüpfen?
...durch die enge Zusammenarbeit mit den Assistenten (w/m), dieses Berufsfeld kennenzulernen?
...dich anhand von anspruchsvollen Aufgabenstellungen persönlich und fachlich weiterzuentwickeln?
...gegebenenfalls eine wissenschaftliche Arbeit zu erstellen?
Dann bist du genau richtig bei uns! Wir sind auf der Suche nach motivierten und engagierten Studierenden!
Das bringst Du mit:
- Bereitschaft zu überdurchschnittlichem Engagement und hohem Einsatz
- Selbständigkeit, Lernbereitschaft und Verantwortungsbewusstsein
- Interesse am Themengebiet der Gruppe ""Globale Produktion""
- Team- und Kommunikationsfähigkeit
- Erfahrung im Umgang mit MS Office (vor allem Powerpoint und Excel)
- Sehr gute Deutschkenntnisse (C2 Niveau)
- Sehr gute Englischkenntnisse (Telefon-/ Schriftverkehr)
- Zeitliche Flexibilität nach Projektbedarf",+49 241 80-28344,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19102/,19102,"Bereich Produktionsmanagement in der Gruppe ""Globale Produktion""",Studentische Hilfskraft
97,Lehrstuhl für Prozessleittechnik,"- Verwaltung von Windows- und Linux-Servern sowie Arbeitsrechnern,von Einkauf über Installation bis hin zur Instandhaltung und Wartung
- Administration virtueller Maschinen
- Einkauf von Hard-, Software
- Betreuen eines Sharepoint-Servers
- Benutzerverwaltung (Active Directory / Email)
- Netzwerkverwaltung",,mailto:j.grothoff@plt.rwth-aachen.de,31.03.2017,Julian Grothoff,"Der Lehrstuhl für Prozessleittechnik beschäftigt sich mit der Entwicklung und Realisierung von Konzepten für die industrielle Automatisierung. Die Forschung konzentriert sich auf die Entwicklung formaler Beschreibungen und Implementierung von prozesstechnischen und informationstechnischen Modellen im Umfeld der Prozessautomatisierung. Projekte zu aktuellen Schwerpunktthemen wie Industrie 4.0, Industrial Internet und Systems of Systems bestehen durch direkte Industriekooperationen, öffentliche Förderungen und Open Source Projekte","Sie sollten nach Möglichkeit ein informatiknahes Studienfach belegen oder ein besonderes Interesse an der Pflege von Netzwerkarchitekturen und IT-Systemen haben.
- Zuverlässigkeit
- Ehrlichkeit
- Großes technisches Interesse 
- Fähigkeit, sich in neue Bereiche einzuarbeiten
- Streben nach einem langfristigen Anstellungsverhältnis
- Beherrschung der deutschen Sprache",+49 241 80-97618,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19094/,19094,,Studentische Hilfskraft
98,"Werkzeugmaschinenlabor WZL der RWTH Aachen, Lehrstuhl für Produktionssystematik","Aufgabenfeld:
- Aktive Mitarbeit in Industrie- und Forschungsprojekten
- Entwicklung von Studien und Benchmarks im Kontext der globalen Produktion
- Literaturrecherchen
- Aufbereitung von Datenanalysen und Präsentationen
Perspektiven:
- Vollwertiges Mitglied im Projektteam
- Flexible Zeiteinteilung
- Praxiserfahrung schon im Studium
- Wachsende Verantwortung und Aufgaben
- Industriekontakte
- Möglichkeit zum Anfertigen von wissenschaftlichen Arbeiten","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 6 Monate. Eine Verlängerung ist gerne möglich.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:j.ays@wzl.rwth-aachen.de,15.04.2017,"Julian Ays, M.Sc.","Das Werkzeugmaschinenlabor WZL der RWTH Aachen steht seit Jahrzehnten als Synonym für erfolgreiche und zukunftsweisende Forschung und Innovation auf dem Gebiet der Produktionstechnik. In sechs Forschungsbereichen werden sowohl grundlagenbezogene als auch an den Erfordernissen der Industrie ausgerichtete Forschungsvorhaben durchgeführt. Die Abteilung Produktionsmanagement am Lehrstuhl für Produktionssystematik beschäftigt sich mit den Themenfeldern Produktionslogistik, Prozessmanagement und globale Produktion.
Die Gruppe 'Globale Produktion' beschäftigt sich im Kern mit strategischen Fragestellungen zu der Gestaltung von globalen Produktionsnetzwerken, sowie der Auswahl und dem Aufbau geeigneter Produktionsstandorte. Hierzu arbeiten wir eng mit führenden Partnern aus der Industrie und Forschung zusammen, konzipieren neue Tools und entwickeln Methoden.","Wir suchen motivierte und engagierte Studierende, die Interesse haben, uns in diesem Aufgabenfeld zu unterstützen und aktiv in Projekten theoretisches Wissen praxisorientiert anzuwenden. Zum einen können in einem jungen, engagierten Umfeld erste Kontakte zum Institut und zur Industrie geknüpft werden. Zum anderen ist, durch die enge Zusammenarbeit mit den Assistenten, zusätzlich ein Kennenlernen des Berufsfeldes eines wissenschaftlichen Mitarbeiters möglich. Außerdem wird die Chance geboten sich anhand von anspruchsvollen, abwechslungsreichen Aufgabenstellungen persönlich und fachlich weiterzuentwickeln, sowie eine wissenschaftliche Arbeit zu erstellen.
Das bringen Sie mit:
- Bereitschaft zu überdurchschnittlichem Engagement und hohem Einsatz
- Selbständigkeit, Lernbereitschaft und Verantwortungsbewusstsein
- Interesse am Themengebiet der Gruppe ""Globale Produktion""
- Team- und Kommunikationsfähigkeit
- Erfahrung im Umgang mit MS Office (vor allem Powerpoint und Excel)
- Sehr gute Deutschkenntnisse (C2 Niveau)
- Sehr gute Englischkenntnisse (Telefon-/ Schriftverkehr)
- Zeitliche Flexibilität nach Projektbedarf",+49 241 80-28344,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19080/,19080,"Bereich Produktionsmanagement in der Gruppe ""Globale Produktion""",Studentische Hilfskraft
99,Markus Ohlenforst,"Die Ausschreibung richtet sich insbesondere an Studierende der Elektrotechnik oder auch Informatik, die Spass haben an der hardwarenahen Programmierung von Mikrocontrollern und FPGAs.
Wir wünschen uns im Idealfall eine Person mit folgendem Profil:
- Sie haben Erfahrung mit Mikrocontrollern, vorzugsweise ARM und AVR.
- Sie besitzen Kenntnisse in der Programmierung von (Xilinx-)FPGAs.
- Sie haben Programmierkenntnisse in C, C++ und Labview.
- Zumindest Grundkenntnisse in der Elektronik, bzw. Nachrichtentechnik sind vorhanden.
- Sie arbeiten selbstständig im Team.
- Sie haben Spass an technischen Herausforderungen.","Wir entwickeln miniaturisierte Sensoren zur Überwachung von medizinischen, mikroinvasiven Bohrprozessen (Schall, Temperatur) und zur Ermittlung der Kerntemperatur an großen und massiven Bauteilen um deren Wärmeausdehnung bestimmen zu können. Für die Sensoren setzen wir einen ARM-basierten Mikrocontroller ein, der über einen Bluetooth Low Energy SoC verfügt. Zur Übertragung der Daten von teilweise Dutzenden Sensoren muss ein BLE-Protokoll - bzw. Profil - entwickelt werden, das eine stabile, fehlerresiliente Kommunikation gewährleistet.
Ein weiteres Forschungsthema beschäftigt sich mit der Laser-Ultraschallprüfung. Im Gegensatz zu etablierten Verfahren, bei dem ein leistungsstarker Laser einen kurzem Lichtimpuls aussendet und damit eine Ultraschallwelle im Bauteil erzeugt wird, arbeiten wir an einem Verfahren, das eine vergleichsweise schwache Laserdiode nutzt. Die Laserdiode wird mit einer Maximalfolge (MLS = Maximum Length Sequence) moduliert. Aus der Korrelation des Anregungssignals mit dem zurückgeworfenen Ultraschallsignal wird die Impulsantwort des Bauteils berechnet. Die Maximalfolge bietet einen hohen Signalgewinn. Gleichzeitig werden stochastische Störsignale bei der Korrelationsmessung wirkungsvoll unterdrückt. In einem nunmehr abgeschlossenen Forschungsprojekt wurden bereits vielversprechende Erkenntnisse gewonnen.
Zur Weiterentwicklung dieses Forschungsthemas soll nun ein Interferometer mit serieller Schnittstelle an ein schnelles FPGA-Entwicklungssystem von National Instruments angebunden werden, um die Daten digital zu übertragen und auszuwerten. Das NI-FPGA-System bietet genug Rechenleistung, um die große Datenrate auch im Scanbetrieb verarbeiten zu können.",mailto:m.jantzen@wzl.rwth-aachen.de,31.03.2017,Martin Jantzen,Werkzeugmaschinenlabor WZL,"Die Gruppe mobile Koordinaten- und bildgebende Messverfahren am Lehrstuhl für Messtechnik und Qualitätsmanagement des Werkzeugmaschinenlabors WZL erforscht Technologien und Verfahren, die eine ganzheitliche Integration rückgeführter Messprozesse in den Fertigungsprozess ermöglichen. Die Modellierung komplexer Fertigungs- und Messprozesse ist dabei meistens der erste Schritt zu einem innovativen, individuellen und leistungsfähigen Messsystem. Die Flexibilität der entwickelten Sensorik und die Nutzung der Messdaten zur Prozesssteuerung sind weitere zentrale Forschungsaspekte.
Die Forschungsfragen beleuchten dabei die Herausforderungen einer Prüfung großer und komplexer Bauteile in der Fertigungsumgebung genauso wie eine Entwicklung prozessintegrierter echtzeitfähiger Bildverarbeitungssysteme für die Faserverbundproduktion. Diese Expertise ermöglicht es uns, Sie von der Aufnahme und Bewertung Ihrer Messaufgabe über die Auswahl oder auch Entwicklung eines geeigneten rückgeführten Messsystems bis hin zur Automatisierung und Integration in Ihre Fertigungsprozesse zu begleiten.
Die Kompetenzfelder umfassen dabei:
- Rückgeführte Messprozesse für komplexe und große Bauteile
- Computertomographie für den industriellen Einsatz
- Echtzeitfähige Bildverarbeitungssysteme
- Qualitätssicherung für die Faserverbundkunststoffproduktion",+49 241 80-26946,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19076/,19076,ggf. auch Bachelor oder Masterarbeit möglich,Studentische Hilfskraft
100,Lev Kirnats,Sie studieren vorzugsweise Informatik oder belegen einen Ingenieurstudiengang und verfügen bereits über gute Programmierkenntnisse. Idealerweise haben sie bereits erste praktische Erfahrungen bei der Implementierung von Weboberflächen gesammelt.,,mailto:kraemer@e3d.rwth-aachen.de,31.03.2017,Ben Krämer,Lehrstuhl für Energieeffizientes Bauen,"Die Schwerpunkte des Lehrstuhls Energieeffizientes Bauen (E3D) liegen auf den drei Themenfeldern:
- Raumklima und Energieeffizienz
- Modellierung und Simulation
- Gebäudehülle und -technik
Hierbei steht die Modellierung und Simulation bauphysikalischer Prozesse im Bereich des energieeffizienten und nachhaltigen Bauens und Betreibens von Gebäuden, technischen Anlagen und Quartieren, einschließlich Lebenszykluskostenanalyse, im Vordergrund. Das Team E3D setzt IT-basierte Methoden in den Bereichen Building Information Modelling (BIM) und Geoinformationssysteme (GIS), thermisch-energetische Simulationsmethoden, die objektorientierte Simulationssprache Modelica und Multi-Physics Simulationsmethoden ein und entwickelt diese weiter.",+49 241 80-25540,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19077/,19077,,Studentische Hilfskraft
101,Prof. Dr. Martin Frenz,"- ein Studium in einer der folgenden Fachrichtungen: (Wirtschafts-)Ingenieurwesen; Lehramt für berufsbildende Schulen
- idealerweise erste berufliche Erfahrungen im Rahmen einer Berufsausbildung im gewerblich-technischen Bereich
- erste Kenntnisse im Bereich Produktionsorganisation  und Projektmanagement
- Interesse interdisziplinäre Fragestellungen im Bereich der dualen Berufsausbildung in Industrie und Handwerk zu bearbeiten
- sehr gute deutsche Sprachkenntnisse und gute englische Sprachkenntnisse",,mailto:c.schmitz@iaw.rwth-aachen.de,30.03.2017,"Clarissa Schmitz, M.A. ",Institut für Arbeitswissenschaft,"Im Mittelpunkt unserer Forschung steht die Gestaltung und Optimierung von Arbeitsprozessen in Entwicklung, Produktion und Service. Unternehmen müssen in Zukunft verstärkt Kooperations- und Veränderungsfähigkeit beweisen. Das wesentliche Potential hierfür liegt in den im Unternehmen tätigen Menschen und deren Arbeit. Dabei spielt sowohl die Auslegung des einzelnen Arbeitssystems eine Rolle, als auch die integrierte und ganzheitliche Gestaltung der Arbeitsprozesse.
Wir erfüllen diese komplexe Gestaltungsaufgabe auf den Gebieten Arbeitsorganisation, technische Gestaltung von Arbeitssystemen und Personalentwicklung. Auf Basis innovativer, ergonomisch optimierter Formen der Mensch-Technik-Interaktion fördern wir Kompetenz, Wissen, Fähigkeiten und Fertigkeiten von Mitarbeitern in komplexen Arbeitsprozessen. Gemeinsam mit Forschungsträgern und unseren Kunden aus der Wirtschaft setzen wir dieses Ziel in die Praxis um. Großunternehmen profitieren davon ebenso wie kleine und mittelständische Unternehmen.",+49 214 80-99482,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19081/,19081,,Studentische Hilfskraft
102,Markus Mirz,"Fachliche Qualifikationen:
- Student/in der Fachrichtung Informatik, Mathematik, Physik, CES, Maschinenbau oder Elektrotechnik
- Kenntnisse in C/C++ oder Python sind erforderlich
- Elektrotechnische Kenntnisse sind nicht zwingend nötig","Im Verlauf des Projekts zur Entwicklung der Co-Simulation wurden bereits verschiedene Software-Komponenten entwickelt. So zum Beispiel ein in C++ geschriebener automatisiert generierter Parser zum Einlesen der Netztopologie-Dateien (CIM/XML/RDF-Format). Diese Netzkomponenten können anschließend mit einem weiteren am ACS entwickelten Tool in Modelica-Objekte überführt werden, da die Simulation in einer Modelica-Umgebung stattfindet. Bei Modelica handelt es sich um eine offene Modellierungssprache für physikalische Modelle. Da der Energienetz-Simulator im Rahmen der Co-Simulation mit dem Simulator des Energiemarktes und Kommunikationsnetzes interagieren muss, werden zudem Software-Komponenten zur Kopplung dieser Simulatoren entwickelt.
Da die eingesetzten Programme in C/C++ oder Python geschrieben sind, suchen wir eine studentische Hilfskraft, die uns bei der weiteren Softwareentwicklung unterstützt. Dabei achten wir darauf, dass die Aufgaben auch den Kenntnissen und Interessen der studentischen Hilfskraft entsprechen.",mailto:lrazik@eonerc.rwth-aachen.de,31.03.2017,Lukas Razik,Automation of Complex Power Systems,"Die Entwicklung in Verteilnetzen hin zu immer mehr verteilten Energieerzeugern stellt neue Anforderungen an Netzausbau und Netzregelung. Um diese zukünftig zielgerichteter planen zu können, wird am ACS in Zusammenarbeit mit anderen RWTH-Instituten und Unternehmen eine Co-Simulationsplattform entwickelt, bei der Energienetz-, Energiemarkt- und Kommunikationsnetz-Simulationen zu einer Simulation gekoppelt werden sollen",+49 241 80-49720,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19053/,19053,im Bereich C++- oder Python-Programmierung,Studentische Hilfskraft
103,"Werkzeugmaschinenlabor WZL der RWTH Aachen, Lehrstuhl für Produktionssystematik","Aufgabenfeld:
- Aktive Mitarbeit in Industrie- und Forschungsprojekten
- Entwicklung von Studien und Benchmarks im Kontext der globalen Produktion
- Literaturrecherchen
- Aufbereitung von Datenanalysen und Präsentationen
Perspektiven:
- Vollwertiges Mitglied im Projektteam
- Flexible Zeiteinteilung
- Praxiserfahrung schon im Studium
- Wachsende Verantwortung und Aufgaben
- Industriekontakte
- Möglichkeit zum Anfertigen von wissenschaftlichen Arbeiten ","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet für 6 Monate. Eine Verlängerung ist möglich.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:j.ays@wzl.rwth-aachen.de,15.04.2017,"Julian Ays, M.Sc.","Das Werkzeugmaschinenlabor WZL der RWTH Aachen steht seit Jahrzehnten als Synonym für erfolgreiche und zukunftsweisende Forschung und Innovation auf dem Gebiet der Produktionstechnik. In sechs Forschungsbereichen werden sowohl grundlagenbezogene als auch an den Erfordernissen der Industrie ausgerichtete Forschungsvorhaben durchgeführt. Die Abteilung Produktionsmanagement am Lehrstuhl für Produktionssystematik beschäftigt sich mit den Themenfeldern Produktionslogistik, Prozessmanagement und globale Produktion.
Die Gruppe ""Globale Produktion"" beschäftigt sich im Kern mit der komplexitätsgerechten Gestaltung von globalen Produktionsnetzwerken und der Auswahl und dem Aufbau geeigneter Produktionsstandorte. Hierzu haben wir Tools und Methoden entwickelt, die bereits in Forschung und Industrie Anwendung finden. Die Tools und Methoden kommen immer wieder bei Industriepartnern vor Ort zum Einsatz und werden parallel auch am WZL weiterentwickelt. ","Wir suchen motivierte und engagierte Studierende, die Interesse haben, uns in diesem Aufgabenfeld zu unterstützen und aktiv in Industrie- und Forschungsprojekten mitzuarbeiten. Die Hiwistelle bietet die Möglichkeit, theoretisches Wissen praxisorientiert anzuwenden und sich anhand von anspruchsvollen und abwechslungsreichen Aufgabenstellungen persönlich und fachlich weiterzuentwickeln. In Absprache und nach einer gewissen Einarbeitungszeit kann auch eine wissenschaftliche Arbeit erstellt werden.
Das bringen Sie mit:
- Bereitschaft zu überdurchschnittlichem Engagement und hohem Einsatz
- Selbständigkeit, Lernbereitschaft und Verantwortungsbewusstsein
- Interesse am Themengebiet der Gruppe ""Globale Produktion""
- Team- und Kommunikationsfähigkeit
- Erfahrung im Umgang mit MS Office (vor allem Powerpoint und Excel)
- Sehr gute Deutsch- und Englischkenntnisse (Telefon-/ Schriftverkehr)
- Zeitliche Flexibilität nach Projektbedarf
- Fortgeschrittenes Maschinenbau/Wirtschaftsingenieurstudium (mindestens 3 Bachelor-Semester) ",+49 241 80-28344,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19007/,19007,"im Bereich Produktionsmanagement in der Gruppe ""Globale Produktion""",Studentische Hilfskraft
